j,fILe,survey,country,N,sTArt,eNd,ReTRo,state,DHS,Region,SubRegion
1,AF71,AF7,Afghanistan,125715,1994,1994,5,,AF,South and Southeast Asia,South Asia
2,AL51,AL5,Albania,12766,2008,2009,5,,AL,North Africa - West Asia - Europe,Southern Europe
3,AL71,AL7,Albania,16128,2017,2018,5,,AL,North Africa - West Asia - Europe,Southern Europe
4,AM42,AM4,Armenia,11286,2000,2000,5,,AM,North Africa - West Asia - Europe,West Asia
5,AM54,AM4,Armenia,10297,2005,2005,5,,AM,North Africa - West Asia - Europe,West Asia
6,AM61,AM6,Armenia,8424,2010,2010,5,,AM,North Africa - West Asia - Europe,West Asia
7,AM72,AM7,Armenia,8771,2015,2016,5,,AM,North Africa - West Asia - Europe,West Asia
8,AO71,AO7,Angola,42002,2015,2016,5,,AO,Sub-Saharan Africa,Middle Africa
9,AO81,AO8,Angola,37767,2023,2024,5,,AO,Sub-Saharan Africa,Middle Africa
10,AZ52,AZ5,Azerbaijan,13565,2006,2006,5,,AZ,North Africa - West Asia - Europe,West Asia
11,BD31,BD3,Bangladesh,32590,1993,1994,5,,BD,South and Southeast Asia,South Asia
12,BD3A,BD3,Bangladesh,29366,1996,1997,5,,BD,South and Southeast Asia,South Asia
13,BD41,BD3,Bangladesh,31925,1999,2000,5,,BD,South and Southeast Asia,South Asia
14,BD4J,BD4,Bangladesh,33605,2004,2004,5,,BD,South and Southeast Asia,South Asia
15,BD51,BD5,Bangladesh,30527,2007,2007,5,,BD,South and Southeast Asia,South Asia
16,BD61,BD6,Bangladesh,45844,2011,2011,5,,BD,South and Southeast Asia,South Asia
17,BD72,BD6,Bangladesh,43772,2014,2014,5,,BD,South and Southeast Asia,South Asia
18,BD7R,BD7,Bangladesh,47828,2017,2018,5,,BD,South and Southeast Asia,South Asia
19,BD81,BD8,Bangladesh,64722,2022,2022,5,,BD,South and Southeast Asia,South Asia
20,BF21,BF2,Burkina Faso,20655,1992,1993,5,,BF,Sub-Saharan Africa,Western Africa
21,BF31,BF3,Burkina Faso,22145,1998,1999,5,,BF,Sub-Saharan Africa,Western Africa
22,BF43,BF4,Burkina Faso,41520,2003,2003,5,,BF,Sub-Saharan Africa,Western Africa
23,BF62,BF6,Burkina Faso,56178,2010,2010,5,,BF,Sub-Saharan Africa,Western Africa
24,BF81,BF8,Burkina Faso,48745,2021,2021,5,,BF,Sub-Saharan Africa,Western Africa
25,BJ31,BJ3,Benin,19359,1996,1996,5,,BJ,Sub-Saharan Africa,Western Africa
26,BJ41,BJ4,Benin,19398,2001,2001,5,,BJ,Sub-Saharan Africa,Western Africa
27,BJ51,BJ5,Benin,57232,2006,2006,5,,BJ,Sub-Saharan Africa,Western Africa
28,BJ61,BJ6,Benin,47152,2011,2012,5,,BJ,Sub-Saharan Africa,Western Africa
29,BJ71,BJ7,Benin,45853,2017,2018,5,,BJ,Sub-Saharan Africa,Western Africa
30,BO01,BO,Bolivia,22338,1989,1989,5,,BO,Latin America and Caribbean,South America
31,BO31,BO3,Bolivia,24174,1993,1994,5,,BO,Latin America and Caribbean,South America
32,BO3B,BO3,Bolivia,29473,1998,1998,5,,BO,Latin America and Caribbean,South America
33,BO41,BO4,Bolivia,45116,2003,2004,5,,BO,Latin America and Caribbean,South America
34,BO51,BO5,Bolivia,40355,2008,2008,5,,BO,Latin America and Caribbean,South America
35,BR01,BR,Brazil,12356,1986,1986,5,,BR,Latin America and Caribbean,South America
36,BR21,BR2,Brazil,15363,1991,1992,5,,BR,Latin America and Caribbean,South America
37,BR31,BR3,Brazil,25513,1996,1996,5,,BR,Latin America and Caribbean,South America
38,BU01,BU,Burundi,11886,1987,1987,5,,BU,Sub-Saharan Africa,Eastern Africa
39,BU61,BU6,Burundi,24520,2010,2011,5,,BU,Sub-Saharan Africa,Eastern Africa
40,BU71,BU7,Burundi,45419,2016,2017,5,,BU,Sub-Saharan Africa,Eastern Africa
41,CD51,CD5,Congo Democratic Republic,29548,2007,2007,5,,CD,Sub-Saharan Africa,Middle Africa
42,CD61,CD6,Congo Democratic Republic,59276,2013,2014,5,,CD,Sub-Saharan Africa,Middle Africa
43,CD81,CD8,Congo Democratic Republic,80890,2023,2024,5,,CD,Sub-Saharan Africa,Middle Africa
44,CF31,CF3,Central African Republic,16936,1994,1995,5,,CF,Sub-Saharan Africa,Middle Africa
45,CG51,CG5,Congo,16687,2005,2005,5,,CG,Sub-Saharan Africa,Middle Africa
46,CG61,CG6,Congo,31948,2011,2012,5,,CG,Sub-Saharan Africa,Middle Africa
47,CI35,CI3,Cote d'Ivoire,24870,1994,1994,5,,CI,Sub-Saharan Africa,Western Africa
48,CI3A,CI3,Cote d'Ivoire,7575,1998,1999,5,,CI,Sub-Saharan Africa,Western Africa
49,CI62,CI6,Cote d'Ivoire,28211,2011,2012,5,,CI,Sub-Saharan Africa,Western Africa
50,CI81,CI8,Cote d'Ivoire,39979,2021,2021,5,,CI,Sub-Saharan Africa,Western Africa
51,CM22,CM2,Cameroon,11612,1991,1991,5,,CM,Sub-Saharan Africa,Middle Africa
52,CM31,CM3,Cameroon,15187,1998,1998,5,,CM,Sub-Saharan Africa,Middle Africa
53,CM44,CM4,Cameroon,29455,2004,2004,5,,CM,Sub-Saharan Africa,Middle Africa
54,CM61,CM6,Cameroon,42312,2011,2011,5,,CM,Sub-Saharan Africa,Middle Africa
55,CM71,CM7,Cameroon,33988,2018,2019,5,,CM,Sub-Saharan Africa,Middle Africa
56,CO01,CO,Colombia,11622,1986,1986,5,,CO,Latin America and Caribbean,South America
57,CO22,CO2,Colombia,15976,1990,1990,5,,CO,Latin America and Caribbean,South America
58,CO31,CO3,Colombia,21830,1995,1995,5,,CO,Latin America and Caribbean,South America
59,CO41,CO4,Colombia,21267,2000,2000,5,,CO,Latin America and Caribbean,South America
60,CO53,CO4,Colombia,71278,2004,2005,5,,CO,Latin America and Caribbean,South America
61,CO61,CO5,Colombia,91399,2009,2010,5,,CO,Latin America and Caribbean,South America
62,CO72,CO7,Colombia,62593,2015,2016,5,,CO,Latin America and Caribbean,South America
63,DR01,DR,Dominican Republic,20151,1986,1986,5,,DR,Latin America and Caribbean,Caribbean
64,DR21,DR2,Dominican Republic,17163,1991,1991,5,,DR,Latin America and Caribbean,Caribbean
65,DR32,DR3,Dominican Republic,19784,1996,1996,5,,DR,Latin America and Caribbean,Caribbean
66,DR41,DR3,Dominican Republic,2871,1999,1999,5,,DR,Latin America and Caribbean,Caribbean
67,DR4B,DR4,Dominican Republic,53667,2002,2002,5,,DR,Latin America and Caribbean,Caribbean
68,DR52,DR5,Dominican Republic,58037,2007,2007,5,,DR,Latin America and Caribbean,Caribbean
69,DR5A,DR5,Dominican Republic,4385,2007,2007,5,,DR,Latin America and Caribbean,Caribbean
70,DR61,DR6,Dominican Republic,18167,2013,2013,5,,DR,Latin America and Caribbean,Caribbean
71,DR6A,DR6,Dominican Republic,4313,2013,2013,5,,DR,Latin America and Caribbean,Caribbean
72,EC01,EC,Ecuador,11835,1987,1987,5,,EC,Latin America and Caribbean,South America
73,EG01,EG,Egypt,35519,1988,1989,5,,EG,North Africa - West Asia - Europe,North Africa
74,EG21,EG2,Egypt,38076,1992,1993,5,,EG,North Africa - West Asia - Europe,North Africa
75,EG33,EG3,Egypt,56381,1995,1996,5,,EG,North Africa - West Asia - Europe,North Africa
76,EG42,EG4,Egypt,54780,2000,2000,5,,EG,North Africa - West Asia - Europe,North Africa
77,EG4A,EG4,Egypt,30298,2003,2003,5,,EG,North Africa - West Asia - Europe,North Africa
78,EG51,EG4,Egypt,61455,2005,2005,5,,EG,North Africa - West Asia - Europe,North Africa
79,EG5A,EG5,Egypt,48619,2008,2008,5,,EG,North Africa - West Asia - Europe,North Africa
80,EG61,EG6,Egypt,59266,2014,2014,5,,EG,North Africa - West Asia - Europe,North Africa
81,ES01,ES,El Salvador,6383,1985,1985,5,,ES,Latin America and Caribbean,Central America
82,ET41,ET4,Ethiopia,44174,1992,1992,5,,ET,Sub-Saharan Africa,Eastern Africa
83,ET51,ET4,Ethiopia,39881,1997,1997,5,,ET,Sub-Saharan Africa,Eastern Africa
84,ET61,ET6,Ethiopia,45540,2003,2003,5,,ET,Sub-Saharan Africa,Eastern Africa
85,ET71,ET7,Ethiopia,41392,2008,2008,5,,ET,Sub-Saharan Africa,Eastern Africa
86,ET81,ET7,Ethiopia,23007,2011,2011,5,,ET,Sub-Saharan Africa,Eastern Africa
87,ET8A,ET8,Ethiopia,52434,2024,2025,5,,ET,Sub-Saharan Africa,Eastern Africa
88,GA41,GA3,Gabon,16878,2000,2001,5,,GA,Sub-Saharan Africa,Middle Africa
89,GA61,GA6,Gabon,23109,2012,2012,5,,GA,Sub-Saharan Africa,Middle Africa
90,GA71,GA7,Gabon,23232,2019,2021,5,,GA,Sub-Saharan Africa,Middle Africa
91,GH02,GH,Ghana,14216,1988,1988,5,,GH,Sub-Saharan Africa,Western Africa
92,GH31,GH2,Ghana,13298,1993,1994,5,,GH,Sub-Saharan Africa,Western Africa
93,GH41,GH3,Ghana,13188,1998,1999,5,,GH,Sub-Saharan Africa,Western Africa
94,GH4B,GH4,Ghana,15086,2003,2003,5,,GH,Sub-Saharan Africa,Western Africa
95,GH5A,GH5,Ghana,11888,2008,2008,5,,GH,Sub-Saharan Africa,Western Africa
96,GH72,GH6,Ghana,23118,2014,2014,5,,GH,Sub-Saharan Africa,Western Africa
97,GH8C,GH8,Ghana,34663,2022,2023,5,,GH,Sub-Saharan Africa,Western Africa
98,GM61,GM6,Gambia,26601,2013,2013,5,,GM,Sub-Saharan Africa,Western Africa
99,GM81,GM7,Gambia,31665,2019,2020,5,,GM,Sub-Saharan Africa,Western Africa
100,GN41,GN3,Guinea,22943,1999,1999,5,,GN,Sub-Saharan Africa,Western Africa
101,GN52,GN4,Guinea,27115,2005,2005,5,,GN,Sub-Saharan Africa,Western Africa
102,GN62,GN6,Guinea,27683,2012,2012,5,,GN,Sub-Saharan Africa,Western Africa
103,GN71,GN7,Guinea,28887,2018,2018,5,,GN,Sub-Saharan Africa,Western Africa
104,GU01,GU,Guatemala,14698,1987,1987,5,,GU,Latin America and Caribbean,Central America
105,GU34,GU3,Guatemala,38753,1995,1995,5,,GU,Latin America and Caribbean,Central America
106,GU41,GU3,Guatemala,18581,1998,1999,5,,GU,Latin America and Caribbean,Central America
107,GU71,GU6,Guatemala,55398,2014,2015,5,,GU,Latin America and Caribbean,Central America
108,GY5I,GY5,Guyana,10929,2009,2009,5,,GY,Latin America and Caribbean,South America
109,HN52,HN5,Honduras,50093,2005,2006,5,,HN,Latin America and Caribbean,Central America
110,HN62,HN6,Honduras,49263,2011,2012,5,,HN,Latin America and Caribbean,Central America
111,HT31,HT3,Haiti,12547,1994,1995,5,,HT,Latin America and Caribbean,Caribbean
112,HT42,HT4,Haiti,26437,2000,2000,5,,HT,Latin America and Caribbean,Caribbean
113,HT52,HT5,Haiti,24830,2005,2006,5,,HT,Latin America and Caribbean,Caribbean
114,HT61,HT6,Haiti,29013,2012,2012,5,,HT,Latin America and Caribbean,Caribbean
115,HT71,HT7,Haiti,27809,2016,2017,5,,HT,Latin America and Caribbean,Caribbean
116,IA23-R02,IA2,India,12133,1992,1992,10,SSandhra pradeshSS,IA,South and Southeast Asia,South Asia
117,IA23-R03,IA2,India,10698,1992,1993,10,SSassamSS,IA,South and Southeast Asia,South Asia
118,IA23-R04,IA2,India,19936,1993,1993,10,SSbiharSS,IA,South and Southeast Asia,South Asia
119,IA23-R05,IA2,India,8970,1992,1993,10,SSgoaSS,IA,South and Southeast Asia,South Asia
120,IA23-R06,IA2,India,11682,1993,1993,10,SSgujaratSS,IA,South and Southeast Asia,South Asia
121,IA23-R07,IA2,India,9155,1993,1993,10,SSharyanaSS,IA,South and Southeast Asia,South Asia
122,IA23-R08,IA2,India,8815,1992,1992,10,SShimachal pradeshSS,IA,South and Southeast Asia,South Asia
123,IA23-R09,IA2,India,8702,1993,1993,10,SSjammuSS,IA,South and Southeast Asia,South Asia
124,IA23-R10,IA2,India,13974,1992,1993,10,SSkarnatakaSS,IA,South and Southeast Asia,South Asia
125,IA23-R11,IA2,India,11220,1992,1993,10,SSkeralaSS,IA,South and Southeast Asia,South Asia
126,IA23-R12,IA2,India,20825,1992,1992,10,SSmadhya pradeshSS,IA,South and Southeast Asia,South Asia
127,IA23-R13,IA2,India,12374,1992,1993,10,SSmaharashtraSS,IA,South and Southeast Asia,South Asia
128,IA23-R14,IA2,India,3291,1993,1993,10,SSmanipurSS,IA,South and Southeast Asia,South Asia
129,IA23-R15,IA2,India,3695,1993,1993,10,SSmeghalayaSS,IA,South and Southeast Asia,South Asia
130,IA23-R16,IA2,India,3204,1993,1993,10,SSmizoramSS,IA,South and Southeast Asia,South Asia
131,IA23-R17,IA2,India,3672,1993,1993,10,SSnagalandSS,IA,South and Southeast Asia,South Asia
132,IA23-R18,IA2,India,13409,1993,1993,10,SSorissaSS,IA,South and Southeast Asia,South Asia
133,IA23-R19,IA2,India,9132,1993,1993,10,SSpunjabSS,IA,South and Southeast Asia,South Asia
134,IA23-R20,IA2,India,17085,1992,1993,10,SSrajasthanSS,IA,South and Southeast Asia,South Asia
135,IA23-R22,IA2,India,11139,1992,1992,10,SStamil naduSS,IA,South and Southeast Asia,South Asia
136,IA23-R23,IA2,India,13579,1992,1992,10,SSwest bengalSS,IA,South and Southeast Asia,South Asia
137,IA23-R24,IA2,India,42209,1992,1993,10,SSuttar pradeshSS,IA,South and Southeast Asia,South Asia
138,IA23-R30,IA2,India,10208,1993,1993,10,SSnew delhiSS,IA,South and Southeast Asia,South Asia
139,IA23-R34,IA2,India,2818,1993,1993,10,SSarunachalpradeshSS,IA,South and Southeast Asia,South Asia
140,IA23-R35,IA2,India,3674,1993,1993,10,SStripuraSS,IA,South and Southeast Asia,South Asia
141,IA42-R02,IA3,India,11399,1998,1999,10,SSandhra pradeshSS,IA,South and Southeast Asia,South Asia
142,IA42-R03,IA3,India,10268,1999,1999,10,SSassamSS,IA,South and Southeast Asia,South Asia
143,IA42-R04,IA3,India,23955,1998,1999,10,SSbiharSS,IA,South and Southeast Asia,South Asia
144,IA42-R05,IA3,India,3030,1999,1999,10,SSgoaSS,IA,South and Southeast Asia,South Asia
145,IA42-R06,IA3,India,11395,1998,1999,10,SSgujaratSS,IA,South and Southeast Asia,South Asia
146,IA42-R07,IA3,India,9002,1998,1999,10,SSharyanaSS,IA,South and Southeast Asia,South Asia
147,IA42-R08,IA3,India,8242,1999,1999,10,SShimachal pradeshSS,IA,South and Southeast Asia,South Asia
148,IA42-R09,IA3,India,9390,1999,1999,10,SSjammuSS,IA,South and Southeast Asia,South Asia
149,IA42-R10,IA3,India,12664,1999,1999,10,SSkarnatakaSS,IA,South and Southeast Asia,South Asia
150,IA42-R11,IA3,India,6753,1999,1999,10,SSkeralaSS,IA,South and Southeast Asia,South Asia
151,IA42-R12,IA3,India,24077,1998,1999,10,SSmadhya pradeshSS,IA,South and Southeast Asia,South Asia
152,IA42-R13,IA3,India,14828,1999,1999,10,SSmaharashtraSS,IA,South and Southeast Asia,South Asia
153,IA42-R14,IA3,India,4864,1999,1999,10,SSmanipurSS,IA,South and Southeast Asia,South Asia
154,IA42-R15,IA3,India,3524,1999,1999,10,SSmeghalayaSS,IA,South and Southeast Asia,South Asia
155,IA42-R16,IA3,India,3268,1999,1999,10,SSmizoramSS,IA,South and Southeast Asia,South Asia
156,IA42-R17,IA3,India,3036,1999,1999,10,SSnagalandSS,IA,South and Southeast Asia,South Asia
157,IA42-R18,IA3,India,13009,1999,1999,10,SSorissaSS,IA,South and Southeast Asia,South Asia
158,IA42-R19,IA3,India,7888,1998,1999,10,SSpunjabSS,IA,South and Southeast Asia,South Asia
159,IA42-R20,IA3,India,23458,1998,1999,10,SSrajasthanSS,IA,South and Southeast Asia,South Asia
160,IA42-R21,IA3,India,3384,1998,1999,10,SSsikkimSS,IA,South and Southeast Asia,South Asia
161,IA42-R22,IA3,India,11585,1999,1999,10,SStamil naduSS,IA,South and Southeast Asia,South Asia
162,IA42-R23,IA3,India,11859,1998,1999,10,SSwest bengalSS,IA,South and Southeast Asia,South Asia
163,IA42-R24,IA3,India,34051,1998,1999,10,SSuttar pradeshSS,IA,South and Southeast Asia,South Asia
164,IA42-R30,IA3,India,7037,1999,1999,10,SSnew delhiSS,IA,South and Southeast Asia,South Asia
165,IA42-R34,IA3,India,3321,1999,1999,10,SSarunachalpradeshSS,IA,South and Southeast Asia,South Asia
166,IA42-R35,IA3,India,3023,2000,2000,10,SStripuraSS,IA,South and Southeast Asia,South Asia
167,IA52-R01,IA5,India,7674,2006,2006,10,SS[jm] jammu and kashmirSS,IA,South and Southeast Asia,South Asia
168,IA52-R02,IA5,India,6619,2006,2006,10,SS[hp] himachal pradeshSS,IA,South and Southeast Asia,South Asia
169,IA52-R03,IA5,India,8150,2005,2006,10,SS[pj] punjabSS,IA,South and Southeast Asia,South Asia
170,IA52-R05,IA5,India,7259,2006,2006,10,SS[uc] uttaranchalSS,IA,South and Southeast Asia,South Asia
171,IA52-R06,IA5,India,6982,2006,2006,10,SS[hr] haryanaSS,IA,South and Southeast Asia,South Asia
172,IA52-R07,IA5,India,7580,2005,2006,10,SS[dl] delhiSS,IA,South and Southeast Asia,South Asia
173,IA52-R08,IA5,India,11249,2005,2006,10,SS[rj] rajasthanSS,IA,South and Southeast Asia,South Asia
174,IA52-R09,IA5,India,36500,2005,2006,10,SS[up] uttar pradeshSS,IA,South and Southeast Asia,South Asia
175,IA52-R10,IA5,India,11523,2006,2006,10,SS[bh] biharSS,IA,South and Southeast Asia,South Asia
